Sample name	Sex	Biosample ID	Population code	Population name	Superpopulation code	Superpopulation name	Data collections
NA19734	female	SAME124873	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19650	male	SAME124976	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19670	male	SAME122795	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19652	male	SAME124978	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19718	female	SAME124444	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19720	male	SAME124118	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19749	female	SAME124726	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19751	male	SAME123699	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19756	male	SAME123696	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19725	female	SAME124689	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19732	male	SAME124778	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19676	male	SAME122790	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19737	female	SAME124872	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19683	female	SAME122936	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19655	male	SAME124980	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19677	female	SAME122789	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19662	female	SAME122960	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19684	female	SAME122941	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19674	male	SAME122792	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19763	female	SAME123896	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19770	female	SAME124068	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19775	female	SAME124065	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19796	male	SAME123330	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19778	male	SAME124060	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19783	male	SAME123144	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19780	male	SAME123147	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19788	female	SAME123153	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19785	female	SAME123150	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19790	female	SAME123326	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19792	male	SAME123327	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
NA19795	male	SAME123329	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19759	male	SAME123707	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19726	male	SAME124692	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19761	female	SAME123894	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19733	female	SAME124868	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19766	female	SAME123899	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19738	male	SAME123482	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19773	female	SAME124067	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19764	female	SAME123898	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19771	male	SAME124069	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19758	female	SAME123706	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19776	female	SAME124062	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19760	female	SAME123895	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19740	female	SAME124719	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19772	male	SAME124066	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19752	female	SAME123700	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19777	male	SAME124063	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19757	male	SAME123697	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19782	female	SAME123145	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19787	male	SAME123148	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19794	female	SAME123328	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19742	male	SAME123504	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19747	male	SAME123501	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
NA19784	male	SAME123151	MXL	Mexican-American	AMR	American	1000 Genomes phase 3 release
NA19789	male	SAME123152	MXL	Mexican-American	AMR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release,1000 Genomes phase 1 release
